Gss year for this respondent                       ,Respondent income in constant dollars,Happiness of marriage,General happiness,Any opp. race in neighborhood,Political party affiliation,Number of persons in household,Race of respondent,"Highest year school completed, spouse",Highest year of school completed,Number of children,Number of brothers and sisters,Spouse labor force status,Marital status,Number of hours worked last week,Respondent id number,Ballot used for interview
2016,27225,Not applicable,Very happy,Yes,Not str democrat,1,White,Not applicable,9,7,7,Not applicable,Divorced,40,1306,Ballot c
2016,1452,Not applicable,Pretty happy,Yes,Strong democrat,1,White,Not applicable,14,2,7,Not applicable,Never married,9,1307,Ballot a
2016,0,Not applicable,Not too happy,Yes,Strong democrat,1,Other,Not applicable,6,4,6,Not applicable,Divorced,Not applicable,1308,Ballot c
2016,0,Not applicable,Very happy,Yes,Strong republican,2,White,Not applicable,12,0,10,Not applicable,Widowed,25,1309,Ballot b
2016,2541,Very happy,Very happy,No,"Ind,near dem",2,Other,15,9,5,9,Working fulltime,Married,28,1310,Ballot a
2016,13612.5,Not applicable,Pretty happy,Yes,Not str republican,2,White,Not applicable,9,1,0,Not applicable,Never married,36,1311,Ballot c
2016,0,Not applicable,Pretty happy,Yes,Not str democrat,2,White,Not applicable,12,0,1,Not applicable,Never married,60,1312,Ballot b
2016,0,Not applicable,Very happy,No,Independent,2,Black,Not applicable,6,4,7,Not applicable,Separated,30,1313,Ballot b
2016,0,Very happy,Pretty happy,Yes,Independent,2,White,6,14,4,13,Other,Married,18,1314,Ballot a
2016,0,Very happy,Very happy,No,Not str democrat,2,White,12,9,4,9,Keeping house,Married,Not applicable,1315,Ballot b
2016,39930,Not applicable,Very happy,Don't know,"Ind,near rep",3,White,Not applicable,12,0,4,Not applicable,Never married,42,1316,Ballot c
2016,0,Not applicable,Pretty happy,No,Not str republican,1,White,Not applicable,16,0,2,Not applicable,Divorced,Not applicable,1317,Ballot c
2016,0,Very happy,Very happy,Yes,Not str republican,2,White,12,12,2,9,Retired,Married,Not applicable,1318,Ballot b
2016,0,Not applicable,Pretty happy,Yes,Not str democrat,2,White,Not applicable,12,5,6,Not applicable,Widowed,Not applicable,1319,Ballot a
2016,0,Not applicable,Not too happy,Yes,Strong republican,2,White,Not applicable,16,0,7,Not applicable,Never married,Not applicable,1320,Ballot c
2016,0,Not applicable,Very happy,Don't know,Independent,1,White,Not applicable,12,4,4,Not applicable,Widowed,Not applicable,1321,Ballot b
2016,32670,Very happy,Very happy,No,Strong republican,2,White,12,12,0,1,Keeping house,Married,40,1322,Ballot a
2016,0,Very happy,Very happy,Yes,Strong republican,2,White,16,16,0,2,Working fulltime,Married,50,1323,Ballot c
2016,49005,Very happy,Very happy,No,Independent,2,White,16,17,2,1,Working parttime,Married,40,1324,Ballot a
2016,0,Very happy,Very happy,No,Strong republican,2,White,12,12,3,1,Retired,Married,Not applicable,1325,Ballot c
2016,0,Very happy,Pretty happy,Yes,Independent,2,White,17,16,2,3,Retired,Married,Not applicable,1326,Ballot a
2016,87120,Very happy,Pretty happy,Yes,Not str democrat,3,Other,3,16,4,8,Working fulltime,Married,40,1327,Ballot c
2016,72600,Pretty happy,Pretty happy,Yes,Not str republican,3,White,16,16,1,2,Working fulltime,Married,40,1328,Ballot b
2016,23595,Not applicable,Pretty happy,Yes,"Ind,near dem",4,White,Not applicable,16,2,4,Not applicable,Separated,40,1329,Ballot a
2016,101640,Not applicable,Pretty happy,Yes,"Ind,near dem",3,Black,Not applicable,18,2,3,Not applicable,Divorced,Not applicable,1330,Ballot c
2016,72600,Pretty happy,Very happy,Yes,Other party,2,White,18,18,0,1,Working fulltime,Married,40,1331,Ballot b
2016,39930,Not applicable,Very happy,Yes,Strong democrat,4,Black,Not applicable,19,3,7,Not applicable,Separated,50,1332,Ballot c
2016,49005,Not applicable,Pretty happy,Yes,"Ind,near dem",1,White,Not applicable,18,0,2,Not applicable,Never married,40,1333,Ballot b
2016,19965,Not applicable,Not too happy,Yes,"Ind,near dem",1,Black,Not applicable,14,3,6,Not applicable,Divorced,10,1334,Ballot c
2016,23595,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,16,0,1,Not applicable,Never married,Not applicable,1335,Ballot c
2016,0,Not applicable,Not too happy,Yes,Strong republican,1,White,Not applicable,19,4,0,Not applicable,Widowed,Not applicable,1336,Ballot a
2016,0,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,20,0,0,Not applicable,Never married,Not applicable,1337,Ballot c
2016,72600,Pretty happy,Pretty happy,Yes,Not str democrat,4,White,20,16,2,2,Working fulltime,Married,40,1338,Ballot b
2016,0,Not applicable,Pretty happy,Yes,Independent,4,White,Not applicable,10,2,2,Not applicable,Widowed,Not applicable,1339,Ballot a
2016,39930,Not applicable,Pretty happy,Yes,Not str republican,1,White,Not applicable,12,3,2,Not applicable,Never married,35,1340,Ballot b
2016,23595,Very happy,Pretty happy,Yes,Strong democrat,4,White,15,12,2,2,Working fulltime,Married,50,1341,Ballot a
2016,19965,Very happy,Very happy,Yes,"Ind,near dem",2,White,12,13,2,2,Working fulltime,Married,30,1342,Ballot c
2016,0,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,12,0,5,Not applicable,Never married,Not applicable,1343,Ballot b
2016,0,Not applicable,Not too happy,Yes,Not str republican,1,White,Not applicable,16,1,1,Not applicable,Widowed,50,1344,Ballot a
2016,0,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,14,3,4,Not applicable,Divorced,41,1345,Ballot b
2016,11797.5,Pretty happy,Pretty happy,Yes,Not str democrat,3,White,19,16,1,2,Working fulltime,Married,42,1346,Ballot a
2016,0,Not applicable,No answer,No answer,No answer,2,Other,Not applicable,No answer,Dk na,No answer,Not applicable,Never married,No answer,1347,Ballot c
2016,0,Pretty happy,Pretty happy,Yes,"Ind,near rep",2,White,12,12,5,2,Temp not working,Married,Not applicable,1348,Ballot b
2016,59895,Very happy,Very happy,Yes,Not str republican,4,White,16,16,3,2,Working fulltime,Married,40,1349,Ballot c
2016,49005,Not applicable,Not too happy,Yes,Independent,1,White,Not applicable,17,0,1,Not applicable,Divorced,40,1350,Ballot c
2016,0,Pretty happy,Pretty happy,Yes,Independent,2,White,12,12,3,4,Retired,Married,Not applicable,1351,Ballot b
2016,0,Pretty happy,Not too happy,No,"Ind,near dem",4,White,16,10,2,4,Working parttime,Married,Not applicable,1352,Ballot c
2016,0,No answer,Pretty happy,Yes,Not str democrat,6,White,No answer,No answer,Dk na,No answer,No answer,Married,No answer,1353,Ballot b
2016,39930,Not applicable,Pretty happy,No,Strong republican,6,White,Not applicable,15,2,3,Not applicable,Divorced,48,1354,Ballot b
2016,39930,Pretty happy,Pretty happy,No,Strong democrat,6,White,16,16,4,2,Working parttime,Married,62,1355,Ballot c
2016,27225,Not applicable,Pretty happy,Don't know,Other party,2,White,Not applicable,12,1,4,Not applicable,Divorced,40,1356,Ballot a
2016,0,Not applicable,Not too happy,No,Not str democrat,1,White,Not applicable,15,3,2,Not applicable,Widowed,Not applicable,1357,Ballot a
2016,0,Very happy,Very happy,No,Strong republican,2,White,15,14,7,8,Keeping house,Married,Not applicable,1358,Ballot c
2016,23595,Not applicable,Very happy,No,"Ind,near dem",3,White,Not applicable,12,0,2,Not applicable,Never married,Not applicable,1359,Ballot c
2016,23595,Very happy,Very happy,No,Not str republican,3,White,12,12,2,11,Working fulltime,Married,Not applicable,1360,Ballot a
2016,0,Pretty happy,Pretty happy,Don't know,Independent,3,White,12,9,7,17,Working fulltime,Married,Not applicable,1361,Ballot c
2016,39930,Very happy,Pretty happy,Yes,Strong republican,4,White,14,16,2,2,Working fulltime,Married,50,1362,Ballot a
2016,8167.5,Not applicable,Very happy,Yes,"Ind,near rep",1,Black,Not applicable,9,1,2,Not applicable,Divorced,55,1363,Ballot b
2016,32670,Very happy,Very happy,Yes,Strong democrat,4,Black,12,13,3,5,Working fulltime,Married,40,1364,Ballot a
2016,0,Not applicable,Pretty happy,Yes,Independent,7,Black,Not applicable,8,0,21,Not applicable,Divorced,Not applicable,1365,Ballot c
2016,0,Not applicable,Pretty happy,Yes,No answer,1,Black,Not applicable,12,4,3,Not applicable,Divorced,Not applicable,1366,Ballot b
2016,0,Not applicable,Pretty happy,Yes,Strong democrat,1,Other,Not applicable,10,7,1,Not applicable,Divorced,Not applicable,1367,Ballot a
2016,0,Not applicable,Not too happy,Yes,Strong democrat,1,White,Not applicable,12,3,6,Not applicable,Widowed,Not applicable,1368,Ballot c
2016,0,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,17,2,1,Not applicable,Divorced,Not applicable,1369,Ballot b
2016,3267,Very happy,Not too happy,Yes,"Ind,near dem",4,Black,12,15,4,8,Working fulltime,Married,Not applicable,1370,Ballot a
2016,19965,Not applicable,Pretty happy,Yes,Other party,1,Black,Not applicable,12,1,3,Not applicable,Divorced,45,1371,Ballot a
2016,0,Very happy,Not too happy,Don't know,"Ind,near dem",3,White,16,12,1,20,Keeping house,Married,84,1372,Ballot b
2016,19965,Not applicable,Pretty happy,Yes,"Ind,near dem",1,White,Not applicable,17,0,3,Not applicable,Never married,50,1373,Ballot a
2016,0,Not applicable,Not too happy,Yes,Strong democrat,3,White,Not applicable,14,0,4,Not applicable,Never married,Not applicable,1374,Ballot c
2016,363,Not applicable,Pretty happy,Yes,Strong republican,4,White,Not applicable,13,0,4,Not applicable,Never married,Not applicable,1375,Ballot b
2016,0,Not applicable,Very happy,Yes,Independent,2,White,Not applicable,16,0,1,Not applicable,Never married,Not applicable,1376,Ballot a
2016,0,Not applicable,Very happy,Yes,Other party,6,White,Not applicable,16,0,5,Not applicable,Never married,40,1377,Ballot c
2016,0,Not applicable,Pretty happy,Yes,Not str democrat,2,White,Not applicable,13,0,2,Not applicable,Never married,15,1378,Ballot b
2016,4719,Not applicable,Pretty happy,Yes,"Ind,near rep",2,White,Not applicable,17,0,2,Not applicable,Separated,30,1379,Ballot c
2016,0,Not applicable,Very happy,Yes,Independent,1,Other,Not applicable,16,0,2,Not applicable,Never married,40,1380,Ballot b
2016,0,Not applicable,Pretty happy,Yes,"Ind,near dem",4,White,Not applicable,13,0,0,Not applicable,Never married,15,1381,Ballot a
2016,0,Not applicable,Pretty happy,Yes,Not str republican,3,White,Not applicable,14,0,2,Not applicable,Never married,Not applicable,1382,Ballot c
2016,0,Not applicable,Very happy,Yes,Independent,2,White,Not applicable,17,0,2,Not applicable,Never married,Not applicable,1383,Ballot b
2016,0,Not applicable,Pretty happy,Yes,Independent,3,White,Not applicable,14,0,3,Not applicable,Never married,25,1384,Ballot a
2016,87120,Very happy,Very happy,Yes,Not str republican,3,White,19,16,1,1,Working fulltime,Married,70,1385,Ballot c
2016,1452,Not applicable,Very happy,Yes,Not str democrat,2,White,Not applicable,13,0,3,Not applicable,Never married,8,1386,Ballot b
2016,49005,Not applicable,Pretty happy,Yes,Not str republican,3,White,Not applicable,16,2,1,Not applicable,Divorced,24,1387,Ballot b
2016,32670,Pretty happy,Pretty happy,No,Independent,4,White,12,12,2,5,Working fulltime,Married,50,1388,Ballot a
2016,27225,Very happy,Very happy,Yes,Independent,2,White,12,12,1,10,Working fulltime,Married,65,1389,Ballot c
2016,0,Not applicable,Not too happy,No,Independent,1,Other,Not applicable,7,2,1,Not applicable,Never married,70,1390,Ballot b
2016,32670,Very happy,Pretty happy,No,Strong republican,2,White,12,12,2,7,Working fulltime,Married,48,1391,Ballot c
2016,0,Pretty happy,Pretty happy,No,"Ind,near dem",4,White,10,14,2,3,Working fulltime,Married,Not applicable,1392,Ballot b
2016,0,Very happy,Very happy,Yes,Not str republican,2,White,12,18,3,3,Retired,Married,Not applicable,1393,Ballot c
2016,3993,Not applicable,Pretty happy,Yes,Not str republican,1,White,Not applicable,20,0,3,Not applicable,Never married,Not applicable,1394,Ballot a
2016,49005,Not applicable,Pretty happy,Yes,Strong democrat,1,White,Not applicable,13,3,1,Not applicable,Widowed,Not applicable,1395,Ballot c
2016,0,Not applicable,Not too happy,Yes,Not str democrat,1,Other,Not applicable,15,1,2,Not applicable,Divorced,Not applicable,1396,Ballot b
2016,0,Very happy,Very happy,Yes,Independent,2,White,12,13,0,0,Working fulltime,Married,20,1397,Ballot a
2016,0,Not applicable,Not too happy,Yes,Not str republican,1,White,Not applicable,13,0,1,Not applicable,Never married,20,1398,Ballot c
2016,0,Not applicable,Not too happy,Yes,Independent,1,White,Not applicable,12,2,3,Not applicable,Never married,16,1399,Ballot b
2016,0,Not applicable,Pretty happy,Yes,Strong democrat,5,White,Not applicable,11,3,6,Not applicable,Divorced,Not applicable,1400,Ballot a
2016,6534,Pretty happy,Pretty happy,Yes,Not str democrat,3,White,16,16,2,7,Working fulltime,Married,40,1401,Ballot a
2016,0,Not applicable,Not too happy,Yes,"Ind,near dem",1,Black,Not applicable,15,0,3,Not applicable,Never married,20,1402,Ballot c
2016,1452,Not applicable,Very happy,Yes,Strong democrat,4,White,Not applicable,14,2,4,Not applicable,Divorced,50,1403,Ballot a
2016,363,Not applicable,Not too happy,Yes,Independent,2,Black,Not applicable,12,1,2,Not applicable,Never married,Not applicable,1404,Ballot c
2016,11797.5,Not applicable,Pretty happy,Yes,"Ind,near rep",1,White,Not applicable,14,0,1,Not applicable,Never married,60,1405,Ballot a
2016,72600,Not too happy,Pretty happy,Yes,"Ind,near rep",3,White,12,15,2,1,Keeping house,Married,86,1406,Ballot c
2016,0,Not applicable,Not too happy,Yes,Not str republican,1,White,Not applicable,12,2,9,Not applicable,Divorced,Not applicable,1407,Ballot c
2016,2541,Not applicable,Not too happy,Yes,Strong republican,5,White,Not applicable,12,0,4,Not applicable,Never married,35,1408,Ballot b
2016,17242.5,Very happy,Very happy,Yes,"Ind,near dem",3,White,14,6,1,5,Working fulltime,Married,36,1409,Ballot c
2016,39930,Very happy,Very happy,Yes,Not str democrat,4,White,9,8,5,11,Working fulltime,Married,52,1410,Ballot a
2016,0,Not applicable,Not too happy,Yes,Strong democrat,1,White,Not applicable,12,2,1,Not applicable,Divorced,Not applicable,1411,Ballot c
2016,0,Not applicable,Very happy,Yes,Strong democrat,1,White,Not applicable,12,4,3,Not applicable,Divorced,Not applicable,1412,Ballot b
2016,0,Not applicable,Not too happy,Yes,Strong democrat,1,Black,Not applicable,9,2,21,Not applicable,Divorced,Not applicable,1413,Ballot a
2016,0,Pretty happy,Pretty happy,Yes,Not str republican,2,White,16,12,4,3,Retired,Married,Not applicable,1414,Ballot a
2016,0,Not applicable,Pretty happy,No,"Ind,near dem",4,White,Not applicable,13,0,1,Not applicable,Never married,60,1415,Ballot b
2016,0,Not applicable,Pretty happy,No,"Ind,near rep",1,White,Not applicable,14,3,2,Not applicable,Widowed,Not applicable,1416,Ballot a
2016,0,Very happy,Pretty happy,No,Not str republican,2,White,12,12,2,0,Retired,Married,Not applicable,1417,Ballot c
2016,0,Very happy,Not too happy,Yes,"Ind,near dem",2,White,16,11,4,4,Retired,Married,Not applicable,1418,Ballot a
2016,49005,Pretty happy,Pretty happy,Yes,"Ind,near rep",2,White,19,16,3,3,Working fulltime,Married,45,1419,Ballot b
2016,0,Pretty happy,Pretty happy,Yes,"Ind,near rep",2,White,17,12,3,2,Retired,Married,Not applicable,1420,Ballot b
2016,72600,Very happy,Very happy,Yes,Not str democrat,4,White,16,19,2,3,Keeping house,Married,40,1421,Ballot b
2016,0,Very happy,Pretty happy,Yes,Strong democrat,2,White,12,14,2,2,Retired,Married,Not applicable,1422,Ballot c
2016,0,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,8,0,6,Not applicable,Never married,Not applicable,1423,Ballot b
2016,32670,Pretty happy,Pretty happy,Yes,Not str republican,4,White,12,12,2,4,Working fulltime,Married,36,1424,Ballot c
2016,39930,Very happy,Very happy,Yes,Strong democrat,2,White,15,15,0,3,Working fulltime,Married,55,1425,Ballot b
2016,0,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,12,0,1,Not applicable,Divorced,24,1426,Ballot a
2016,0,Not applicable,Pretty happy,No,Strong democrat,1,White,Not applicable,12,0,1,Not applicable,Divorced,Not applicable,1427,Ballot c
2016,0,Not applicable,Pretty happy,Yes,Not str republican,1,Other,Not applicable,16,2,2,Not applicable,Widowed,Not applicable,1428,Ballot b
2016,0,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,15,0,1,Not applicable,Divorced,20,1429,Ballot a
2016,49005,Very happy,Pretty happy,No,Strong republican,2,White,12,20,1,3,Working fulltime,Married,35,1430,Ballot b
2016,39930,Not applicable,Pretty happy,Yes,"Ind,near dem",1,White,Not applicable,13,1,1,Not applicable,Divorced,48,1431,Ballot b
2016,23595,Not applicable,Pretty happy,Yes,"Ind,near dem",2,White,Not applicable,14,0,1,Not applicable,Never married,40,1432,Ballot a
2016,49005,Very happy,Pretty happy,No,Strong democrat,4,White,18,18,3,1,Keeping house,Married,38,1433,Ballot c
2016,39930,Not applicable,Not too happy,Yes,Strong republican,2,White,Not applicable,9,4,5,Not applicable,Widowed,40,1434,Ballot a
2016,49005,Not applicable,Pretty happy,Yes,Strong democrat,2,White,Not applicable,1,0,4,Not applicable,Never married,40,1435,Ballot c
2016,23595,Not applicable,Pretty happy,Yes,Not str democrat,2,White,Not applicable,13,0,2,Not applicable,Never married,40,1436,Ballot a
2016,49005,Pretty happy,Pretty happy,Yes,Strong republican,2,White,8,12,3,4,Working fulltime,Married,48,1437,Ballot c
2016,0,Not applicable,Pretty happy,Yes,"Ind,near dem",1,White,Not applicable,18,2,6,Not applicable,Divorced,Not applicable,1438,Ballot c
2016,32670,Very happy,Very happy,Yes,"Ind,near rep",4,White,18,16,2,8,Working fulltime,Married,32,1439,Ballot b
2016,87120,Very happy,Pretty happy,Yes,"Ind,near rep",4,White,18,18,2,2,Working fulltime,Married,60,1440,Ballot b
2016,0,Not applicable,Not too happy,Yes,Strong democrat,1,White,Not applicable,17,7,1,Not applicable,Widowed,Not applicable,1441,Ballot c
2016,27225,Very happy,Very happy,Yes,Not str democrat,3,White,16,16,1,3,Working fulltime,Married,Not applicable,1442,Ballot c
2016,59895,Not applicable,Very happy,Yes,"Ind,near rep",1,White,Not applicable,16,0,2,Not applicable,Never married,40,1443,Ballot a
2016,23595,Not applicable,Pretty happy,Yes,Not str democrat,3,White,Not applicable,18,0,4,Not applicable,Never married,32,1444,Ballot c
2016,0,Not applicable,Very happy,Yes,Strong republican,1,White,Not applicable,13,1,7,Not applicable,Divorced,Not applicable,1445,Ballot b
2016,59895,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,12,0,1,Not applicable,Never married,60,1446,Ballot a
2016,9982.5,Pretty happy,Pretty happy,Yes,Not str republican,3,White,12,14,2,1,Working fulltime,Married,20,1447,Ballot c
2016,0,Not applicable,Pretty happy,No,Strong democrat,2,White,Not applicable,16,Eight or more,0,Not applicable,Widowed,Not applicable,1448,Ballot a
2016,0,Very happy,Very happy,Don't know,"Ind,near rep",2,White,18,17,4,1,Retired,Married,Not applicable,1449,Ballot c
2016,3993,Not applicable,Not too happy,No,"Ind,near rep",1,White,Not applicable,12,5,4,Not applicable,Divorced,Not applicable,1450,Ballot c
2016,72600,Very happy,Pretty happy,Yes,Strong republican,2,White,12,12,3,6,Working fulltime,Married,40,1451,Ballot b
2016,0,Very happy,Pretty happy,Yes,Not str democrat,4,White,19,16,0,2,Working fulltime,Married,Not applicable,1452,Ballot b
2016,11797.5,Very happy,Pretty happy,Yes,Not str republican,4,White,12,14,3,1,Working fulltime,Married,50,1453,Ballot c
2016,32670,Very happy,Very happy,No,Not str democrat,3,Other,12,13,5,3,Keeping house,Married,55,1454,Ballot b
2016,27225,Not applicable,Pretty happy,Don't know,Independent,3,White,Not applicable,12,0,2,Not applicable,Never married,56,1455,Ballot a
2016,0,Not applicable,Not too happy,No,"Ind,near dem",1,White,Not applicable,17,2,1,Not applicable,Separated,Not applicable,1456,Ballot b
2016,17242.5,Very happy,Pretty happy,Yes,Independent,2,White,12,12,1,2,Working fulltime,Married,40,1457,Ballot a
2016,0,Not applicable,Pretty happy,Yes,"Ind,near rep",3,White,Not applicable,12,0,2,Not applicable,Divorced,Not applicable,1458,Ballot c
2016,13612.5,Very happy,Pretty happy,Yes,Independent,9,White,12,12,7,16,Keeping house,Married,50,1459,Ballot b
2016,0,Not applicable,Pretty happy,Yes,"Ind,near dem",1,White,Not applicable,16,0,0,Not applicable,Never married,40,1460,Ballot b
2016,11797.5,Not applicable,Very happy,Yes,Independent,3,Other,Not applicable,13,3,7,Not applicable,Divorced,32,1461,Ballot a
2016,6534,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,15,0,3,Not applicable,Never married,44,1462,Ballot b
2016,3267,Not applicable,Pretty happy,Yes,"Ind,near dem",3,White,Not applicable,13,0,2,Not applicable,Never married,23,1463,Ballot c
2016,1452,Not applicable,Not too happy,Yes,"Ind,near dem",2,White,Not applicable,11,1,3,Not applicable,Never married,27,1464,Ballot b
2016,15427.5,Not applicable,Pretty happy,Yes,Strong democrat,1,Black,Not applicable,12,1,10,Not applicable,Never married,40,1465,Ballot c
2016,0,Not applicable,Pretty happy,Yes,Not str republican,1,White,Not applicable,14,3,7,Not applicable,Divorced,Not applicable,1466,Ballot c
2016,0,Not applicable,Pretty happy,No,Independent,1,White,Not applicable,11,5,4,Not applicable,Divorced,Not applicable,1467,Ballot b
2016,101640,Very happy,Don't know,Yes,Strong republican,6,White,16,18,7,7,Keeping house,Married,75,1468,Ballot c
2016,13612.5,Not applicable,Pretty happy,Don't know,"Ind,near dem",2,White,Not applicable,14,0,3,Not applicable,Never married,40,1469,Ballot b
2016,13612.5,Pretty happy,Pretty happy,Don't know,Not str republican,2,White,14,14,6,4,Retired,Married,26,1470,Ballot a
2016,39930,Not applicable,Pretty happy,Yes,"Ind,near dem",5,White,Not applicable,12,3,2,Not applicable,Divorced,46,1471,Ballot a
2016,0,Not applicable,Very happy,Yes,Not str republican,1,White,Not applicable,20,3,4,Not applicable,Widowed,Not applicable,1472,Ballot a
2016,0,Very happy,Very happy,No,Not str republican,6,White,18,16,4,2,Working fulltime,Married,Not applicable,1473,Ballot b
2016,0,Very happy,Pretty happy,No,Strong republican,2,White,13,14,5,3,Retired,Married,Not applicable,1474,Ballot a
2016,0,Pretty happy,Pretty happy,No,"Ind,near dem",2,White,16,13,2,5,Working fulltime,Married,Not applicable,1475,Ballot c
2016,9982.5,Pretty happy,Pretty happy,No,Strong democrat,2,White,8,12,0,4,Working fulltime,Married,30,1476,Ballot a
2016,23595,Very happy,Very happy,Yes,Not str republican,3,White,11,12,2,2,Working fulltime,Married,Not applicable,1477,Ballot a
2016,32670,Very happy,Very happy,Don't know,Independent,6,White,14,15,4,2,Working fulltime,Married,60,1478,Ballot c
2016,0,Pretty happy,Pretty happy,No,Independent,3,White,14,12,1,2,Working fulltime,Married,Not applicable,1479,Ballot b
2016,0,Very happy,Pretty happy,No,"Ind,near rep",2,White,12,13,2,2,Retired,Married,55,1480,Ballot b
2016,49005,Not applicable,Pretty happy,Yes,"Ind,near rep",1,White,Not applicable,16,0,3,Not applicable,Never married,40,1481,Ballot a
2016,59895,Pretty happy,Pretty happy,Yes,"Ind,near rep",4,White,14,14,2,2,Working fulltime,Married,80,1482,Ballot b
2016,32670,Very happy,Very happy,Yes,"Ind,near dem",2,White,11,9,2,6,Working fulltime,Married,42,1483,Ballot a
2016,9982.5,Very happy,Pretty happy,Yes,"Ind,near rep",2,White,8,11,2,5,Retired,Married,35,1484,Ballot c
2016,19965,Not applicable,Pretty happy,Yes,Strong republican,1,Black,Not applicable,12,0,2,Not applicable,Never married,7,1485,Ballot b
2016,27225,Not applicable,Not too happy,Yes,Strong republican,2,Other,Not applicable,20,4,1,Not applicable,Divorced,53,1486,Ballot c
2016,27225,Very happy,Pretty happy,Yes,Independent,4,Other,12,11,2,9,Working fulltime,Married,40,1487,Ballot b
2016,0,Pretty happy,Not too happy,Yes,Independent,4,White,Don't know,12,1,2,"Unempl, laid off",Married,Not applicable,1488,Ballot a
2016,23595,Very happy,Pretty happy,Yes,"Ind,near rep",2,White,20,12,5,4,Working fulltime,Married,40,1489,Ballot c
2016,39930,Very happy,Very happy,Yes,Not str republican,2,White,16,19,2,3,Working fulltime,Married,40,1490,Ballot c
2016,49005,Not applicable,Very happy,Yes,"Ind,near dem",1,White,Not applicable,16,0,2,Not applicable,Never married,27,1491,Ballot b
2016,39930,Not applicable,Pretty happy,Yes,Strong republican,1,Other,Not applicable,14,0,2,Not applicable,Never married,Not applicable,1492,Ballot a
2016,32670,Not applicable,Not too happy,Yes,Strong democrat,1,White,Not applicable,14,0,1,Not applicable,Never married,55,1493,Ballot a
2016,19965,Pretty happy,Pretty happy,Yes,"Ind,near dem",2,White,8,13,0,5,Retired,Married,40,1494,Ballot c
2016,49005,Not applicable,Pretty happy,Yes,"Ind,near dem",1,White,Not applicable,16,0,1,Not applicable,Never married,48,1495,Ballot b
2016,4719,Not applicable,Pretty happy,Yes,"Ind,near dem",2,Black,Not applicable,15,1,4,Not applicable,Never married,40,1496,Ballot a
2016,0,Not applicable,Not too happy,Yes,Not str democrat,2,Black,Not applicable,12,4,10,Not applicable,Divorced,38,1497,Ballot c
2016,0,Pretty happy,Pretty happy,No,"Ind,near rep",4,White,12,6,2,8,Working fulltime,Married,Not applicable,1498,Ballot b
2016,0,Not applicable,Pretty happy,Yes,Not str republican,1,White,Not applicable,17,0,0,Not applicable,Never married,53,1499,Ballot a
2016,39930,Not applicable,Very happy,Yes,"Ind,near dem",1,White,Not applicable,14,0,1,Not applicable,Never married,60,1500,Ballot c
2016,87120,Not applicable,Very happy,Yes,Not str democrat,1,Black,Not applicable,18,2,4,Not applicable,Divorced,45,1501,Ballot b
2016,32670,Not applicable,Very happy,Yes,"Ind,near rep",1,White,Not applicable,16,0,2,Not applicable,Never married,50,1502,Ballot c
2016,87120,Very happy,Pretty happy,Yes,Strong republican,3,White,16,17,2,4,Working parttime,Married,55,1503,Ballot a
2016,59895,Not applicable,Very happy,Yes,Strong democrat,1,Black,Not applicable,17,1,2,Not applicable,Never married,40,1504,Ballot b
2016,13612.5,Pretty happy,Pretty happy,Yes,Other party,5,White,16,17,1,2,Working fulltime,Married,32,1505,Ballot a
2016,0,Not applicable,Pretty happy,Yes,"Ind,near rep",1,White,Not applicable,12,0,0,Not applicable,Never married,56,1506,Ballot c
2016,0,Very happy,Very happy,Yes,"Ind,near dem",2,White,12,12,3,3,Retired,Married,Not applicable,1507,Ballot c
2016,0,Not applicable,Pretty happy,Yes,Not str democrat,3,Black,Not applicable,12,0,4,Not applicable,Never married,25,1508,Ballot c
2016,0,Not applicable,Pretty happy,Yes,"Ind,near rep",2,White,Not applicable,12,2,1,Not applicable,Widowed,Not applicable,1509,Ballot b
2016,39930,Not applicable,Very happy,Yes,Independent,1,White,Not applicable,16,3,2,Not applicable,Divorced,60,1510,Ballot c
2016,0,Not applicable,Very happy,Yes,Not str republican,1,White,Not applicable,16,5,4,Not applicable,Widowed,Not applicable,1511,Ballot c
2016,17242.5,Not applicable,Pretty happy,Yes,Independent,8,White,Not applicable,16,0,8,Not applicable,Never married,40,1512,Ballot b
2016,39930,Not applicable,Pretty happy,Yes,Independent,2,White,Not applicable,12,4,4,Not applicable,Divorced,50,1513,Ballot c
2016,0,Not applicable,Not too happy,Yes,"Ind,near dem",1,White,Not applicable,16,0,3,Not applicable,Never married,Not applicable,1514,Ballot c
2016,0,Not applicable,Not too happy,Yes,Independent,3,White,Not applicable,12,0,0,Not applicable,Never married,Not applicable,1515,Ballot b
2016,19965,Not applicable,Very happy,No,Not str republican,4,White,Not applicable,14,0,1,Not applicable,Never married,32,1516,Ballot a
